date,hour,notes,mood,anx,asleep,overwhelm,lightness,rain
6/10/2021,1,,,,1,,,
6/10/2021,2,,,,1,,,
6/10/2021,3,,,,1,,,
6/10/2021,4,,,,1,,,
6/10/2021,5,,,,1,,,
6/10/2021,6,,0,1,,,,
6/10/2021,7,,0,1,,,,
6/10/2021,8,,0,1,,,,
6/10/2021,9,,0,2,,,,
6/10/2021,10,,0,1,,,,1
6/10/2021,11,,0,0,,,,1
6/10/2021,12,,-1,0,,,,1
6/10/2021,13,got rained on but ended up being kind of nice,-1,0,,,,1
6/10/2021,14,,0,0,,,,1
6/10/2021,15,,1,0,,,,1
6/10/2021,16,,0,0,,,,
6/10/2021,17,,1,0,,,,
6/10/2021,18,,1,0,,,,
6/10/2021,19,,2,0,,,,
6/10/2021,20,,1,0,,,,
6/10/2021,21,,1,0,,,,
6/10/2021,22,,,,1,,,
6/10/2021,23,,,,1,,,
6/10/2021,24,,,,1,,,
6/11/2021,1,,,,1,,,1
6/11/2021,2,,,,1,,,1
6/11/2021,3,,,,1,,,1
6/11/2021,4,,,,1,,,1
6/11/2021,5,,,,1,,,1
6/11/2021,6,,0,0,,,,1
6/11/2021,7,,0,0,,,,1
6/11/2021,8,,0,0,,,,1
6/11/2021,9,,-1,1,,,,1
6/11/2021,10,,0,0,,,,1
6/11/2021,11,,0,0,,,,1
6/11/2021,12,,0,0,,,,1
6/11/2021,13,,0,0,,,,1
6/11/2021,14,,0,1,,,,1
6/11/2021,15,,0,0,,,,1
6/11/2021,16,,-1,1,,,,1
6/11/2021,17,,-1,1,,,,1
6/11/2021,18,worried about house repair; feel like I should be productive but too tired to do anything,-1,1,,,,1
6/11/2021,19,,-1,1,,,,1
6/11/2021,20,,-1,1,,,,1
6/11/2021,21,,-1,1,,,,1
6/11/2021,22,,0,0,,,,1
6/11/2021,23,,,,1,,,1
6/11/2021,24,,,,1,,,1
6/12/2021,1,,,,1,,,
6/12/2021,2,,,,1,,,
6/12/2021,3,,,,1,,,
6/12/2021,4,,,,1,,,
6/12/2021,5,,,,1,,,
6/12/2021,6,,0,0,1,,,
6/12/2021,7,,0,0,,,,
6/12/2021,8,,0,0,,,,
6/12/2021,9,,0,0,,,,
6/12/2021,10,,0,0,,,,
6/12/2021,11,,0,0,,,,
6/12/2021,12,,0,0,,,,
6/12/2021,13,,0,0,,,,
6/12/2021,14,,0,0,,,,
6/12/2021,15,,,,1,,,
6/12/2021,16,,,,1,,,
6/12/2021,17,,1,0,,,,
6/12/2021,18,,1,0,,,,
6/12/2021,19,"get to brewery, v loud and crowded",-1,1,,,,
6/12/2021,20,dancing = fun,2,0,,,,
6/12/2021,21,dancing = fun,2,-1,,,,
6/12/2021,22,listening to music as fall asleep,2,-1,,,,
6/12/2021,23,,,,1,,,
6/12/2021,24,,,,1,,,
6/13/2021,1,,,,1,,,
6/13/2021,2,,,,1,,,
6/13/2021,3,,,,1,,,
6/13/2021,4,,,,1,,,
6/13/2021,5,,,,1,,,
6/13/2021,6,,,,1,,,
6/13/2021,7,,0,0,,,,
6/13/2021,8,,0,0,,,,
6/13/2021,9,,0,0,,,,
6/13/2021,10,worry about house and work that needs to be done,0,1,,,,
6/13/2021,11,,0,1,,,,
6/13/2021,12,,0,1,,,,
6/13/2021,13,,0,0,,,,
6/13/2021,14,,0,0,,,,
6/13/2021,15,,,,1,,,
6/13/2021,16,,,,1,,,
6/13/2021,17,,0,0,,,,
6/13/2021,18,,0,0,,,,
6/13/2021,19,waiting for S to get home,0,1,,,,
6/13/2021,20,,0,0,,,,
6/13/2021,21,,0,0,,,,
6/13/2021,22,,,,,,,
6/13/2021,23,,,,,,,
6/13/2021,24,,,,,,,
6/14/2021,1,,,,1,,,
6/14/2021,2,,,,1,,,
6/14/2021,3,,,,1,,,
6/14/2021,4,,,,1,,,
6/14/2021,5,,,,1,,,
6/14/2021,6,,0,1,,,,
6/14/2021,7,,0,1,,,,
6/14/2021,8,,0,0,,,,
6/14/2021,9,,0,1,,1,,
6/14/2021,10,,0,1,,,,
6/14/2021,11,work plus home school = stress,0,0,,,,
6/14/2021,12,,0,1,,,,
6/14/2021,13,,0,1,,,,
6/14/2021,14,,0,0,,,,
6/14/2021,15,,0,0,,,,
6/14/2021,16,"trying to go to pool but nail in tire, very hot",-1,1,,1,,
6/14/2021,17,,-1,1,,,,
6/14/2021,18,,0,1,,,,
6/14/2021,19,,0,0,,,,
6/14/2021,20,,0,0,,,,
6/14/2021,21,,,,1,,,
6/14/2021,22,,,,1,,,
6/14/2021,23,,,,1,,,
6/14/2021,24,,,,1,,,
6/15/2021,1,,,,1,,,
6/15/2021,2,,,,1,,,
6/15/2021,3,,,,1,,,
6/15/2021,4,,,,1,,,
6/15/2021,5,,,,1,,,
6/15/2021,6,,,,1,,,
6/15/2021,7,,0,0,,,,
6/15/2021,8,,0,0,,,,
6/15/2021,9,,0,0,,,,
6/15/2021,10,,0,0,,,,
6/15/2021,11,,0,0,,,,
6/15/2021,12,,0,0,,,,
6/15/2021,13,,0,0,,,,
6/15/2021,14,,0,1,,,,
6/15/2021,15,,,,1,,,
6/15/2021,16,,0,0,,,,
6/15/2021,17,,-1,0,,,,
6/15/2021,18,,-1,0,,,,
6/15/2021,19,,-1,0,,,,
6/15/2021,20,,-1,0,,,,
6/15/2021,21,,,,1,,,
6/15/2021,22,,,,1,,,
6/15/2021,23,,,,1,,,
6/15/2021,24,,,,1,,,
6/19/2021,1,,,,1,,,
6/19/2021,2,,,,1,,,
6/19/2021,3,,,,1,,,
6/19/2021,4,,,,1,,,
6/19/2021,5,,,,1,,,
6/19/2021,6,,,,1,,,
6/19/2021,7,,,,1,,,
6/19/2021,8,,0,0,,,,
6/19/2021,9,,0,0,,,,
6/19/2021,10,,,,,,,
6/19/2021,11,,,,,,,
6/19/2021,12,,,,,,,
6/19/2021,13,,,,,,,
6/19/2021,14,,,,,,,
6/19/2021,15,,,,,,,
6/19/2021,16,,,,,,,
6/19/2021,17,,,,,,,
6/19/2021,18,,,,,,,
6/19/2021,19,,,,,,,
6/19/2021,20,,,,,,,
6/19/2021,21,,,,,,,
6/19/2021,22,,,,,,,
6/19/2021,23,,,,,,,
6/19/2021,24,,,,,,,
